date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:25:55	109/109	---MCZ	200	added ('OK')	text/plain	etag:%2251-1712252157;gz%22	https://kitpro.site/robots.txt		(from )
22:25:55	146488/146488	---MCZ	200	added ('OK')	text/html	date:Thu,%2011%20Apr%202024%2016:55:55%20GMT	https://kitpro.site/tutturu/	D:/New%20folder/kavi/kitpro.site/tutturu/index.html	(from )
22:25:56	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2011%20Apr%202024%2016:55:55%20GMT	https://kitpro.site/tutturu/xmlrpc.php	D:/New%20folder/kavi/kitpro.site/tutturu/xmlrpc.php	(from https://kitpro.site/tutturu/)
22:25:56	210005/210005	---M-Z	200	added ('OK')	text/css	date:Thu,%2014%20Mar%202024%2003:23:19%20GMT	https://kitpro.site/tutturu/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main.css?ver=2.6.3	D:/New%20folder/kavi/kitpro.site/tutturu/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main6fca.css	(from https://kitpro.site/tutturu/)
22:25:57	7323/7323	---M--	200	added ('OK')	application/rss+xml	etag:%22bbed2740b043d9ef695331fc747c6c41%22	https://kitpro.site/tutturu/feed/	D:/New%20folder/kavi/kitpro.site/tutturu/feed/index.html	(from https://kitpro.site/tutturu/)
22:25:57	1111/1111	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Oct%202021%2006:31:37%20GMT	https://kitpro.site/tutturu/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min.css?ver=1.0.21	D:/New%20folder/kavi/kitpro.site/tutturu/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min365c.css	(from https://kitpro.site/tutturu/)
22:25:57	776/776	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Sep%202023%2002:15:45%20GMT	https://kitpro.site/tutturu/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.16	D:/New%20folder/kavi/kitpro.site/tutturu/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor88a1.css	(from https://kitpro.site/tutturu/)
22:25:58	19778/19778	---M-Z	200	added ('OK')	text/css	date:Thu,%2014%20Mar%202024%2003:19:53%20GMT	https://kitpro.site/tutturu/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.29.0	D:/New%20folder/kavi/kitpro.site/tutturu/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.mind54b.css	(from https://kitpro.site/tutturu/)
22:25:58	758/758	---M--	200	added ('OK')	application/rss+xml	etag:%22bbed2740b043d9ef695331fc747c6c41%22	https://kitpro.site/tutturu/comments/feed/	D:/New%20folder/kavi/kitpro.site/tutturu/comments/feed/index.html	(from https://kitpro.site/tutturu/)
22:25:58	118630/118630	---M-Z	200	added ('OK')	text/css	date:Thu,%2014%20Mar%202024%2003:19:52%20GMT	https://kitpro.site/tutturu/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.20.1	D:/New%20folder/kavi/kitpro.site/tutturu/wp-content/plugins/elementor/assets/css/frontend-lite.min78fb.css	(from https://kitpro.site/tutturu/)
22:25:59	16471/16471	---M-Z	200	added ('OK')	text/css	date:Thu,%2014%20Mar%202024%2003:19:54%20GMT	https://kitpro.site/tutturu/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	D:/New%20folder/kavi/kitpro.site/tutturu/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://kitpro.site/tutturu/)
22:25:59	15024/15024	---M-Z	200	added ('OK')	text/css	date:Wed,%2017%20Jan%202024%2002:10:29%20GMT	https://kitpro.site/tutturu/wp-content/uploads/sites/69/elementor/css/post-6.css?ver=1705457429	D:/New%20folder/kavi/kitpro.site/tutturu/wp-content/uploads/sites/69/elementor/css/post-6aed2.css	(from https://kitpro.site/tutturu/)
